weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
6438.0,2024-02-29 21:00,London,Winter,8.5,,1.3,14.1,3144,Snow,1009.5
7701.0,2024-04-22 12:00,London,Spring,15.4,71.0,2.3,18.9,6461,Fog,1034.1
8648.0,2024-05-31 23:00,London,Rainy,18.0,72.0,2.3,10.8,3796,Clear,1006.6
7513.0,2024-04-14 16:00,London,Spring,22.5,37.0,0.0,66.2,3296,Rain,1041.2
7903.0,2024-04-30 22:00,London,Spring,5.4,47.0,8.7,74.1,457,Rain,1042.5
5009.0,2024-01-01 08:00,London,Winter,-2.8,96.0,5.8,78.7,8323,Rain,1036.2
5158.0,2024-01-07 13:00,London,Winter,2.0,80.0,18.5,70.4,4182,Storm,987.9
5024.0,2024-01-01 23:00,London,Winter,10.4,66.0,17.1,52.6,7706,Storm,1047.1
9930.0,2024-07-24 09:00,London,Summer,31.3,22.0,10.0,37.9,8014,Clear,983.9
6892.0,2024-03-19 19:00,London,Spring,9.8,41.0,0.2,62.5,2017,Fog,978.7
,2024-01-10 11:00,London,Winter,8.4,,3.7,5.3,8169,Clear,1023.8
9542.0,2024-07-08 05:00,London,Summer,10.5,53.0,2.8,31.7,8538,Clear,981.1
5080.0,2024-01-04 07:00,London,Winter,3.1,60.0,10.8,7.0,3044,Clear,1008.2
7532.0,2024-04-15 11:00,London,Spring,15.0,47.0,8.8,76.5,1306,Fog,1006.6
7216.0,2024-04-02 07:00,London,Spring,11.7,72.0,0.0,21.2,9260,Rain,1004.5
8780.0,2024-06-06 11:00,London,Summer,33.3,77.0,,30.3,907,Snow,1018.2
9902.0,2024-07-23 05:00,London,Summer,26.5,64.0,6.6,60.5,2701,Clear,957.0
6537.0,2024-03-05 00:00,London,Spring,9.4,64.0,1.3,44.3,2877,Rain,1032.1
,2024-07-12 08:00,London,Summer,11.8,43.0,3.3,19.1,5574,Clear,1038.8
7814.0,2024-04-27 05:00,London,Spring,24.2,77.0,2.8,17.6,7655,Clear,1027.4
7922.0,2024-05-01 17:00,London,Spring,7.5,78.0,2.9,30.8,2224,Fog,1007.3
5682.0,2024-01-29 09:00,London,,1.1,73.0,12.9,39.6,,Rain,969.6
8320.0,2024-05-18 07:00,London,Spring,18.6,36.0,5.9,5.0,6729,Clear,977.4
5486.0,2024-01-21 05:00,London,Winter,-30.0,71.0,8.8,,3450,Clear,976.4
8662.0,2024-06-01 13:00,London,Summer,33.6,59.0,8.0,19.7,7901,Clear,971.4
9422.0,2024-07-03 05:00,London,Summer,19.8,34.0,0.6,75.8,2002,Storm,1003.1
5063.0,2024-01-20 05:00,London,Winter,-2.9,87.0,28.0,75.0,3271,Clear,991.5
8674.0,02/06/2024 01:00AM,London,Summer,22.0,30.0,9.1,,7533,Clear,1029.1
6698.0,2024-03-11 17:00,London,Spring,17.6,26.0,1.3,71.2,1808,Storm,985.1
5064.0,,London,Winter,5.7,91.0,,1.0,5070,Rain,992.8
5347.0,2024-01-15 10:00,London,Winter,,,17.8,77.0,371,Clear,952.2
9060.0,2024-06-18 03:00,London,Summer,18.0,58.0,2.9,41.5,7349,Clear,992.1
5081.0,2024-01-04 08:00,London,Winter,4.2,80.0,3.8,12.4,3796,Storm,1029.9
5297.0,2024-01-13 08:00,London,Winter,3.4,65.0,13.8,46.7,1823,Snow,987.3
9760.0,2024-07-17 07:00,,Summer,26.5,,5.0,76.0,High,Rain,1030.0
7988.0,2024-05-04 11:00,London,Spring,24.5,42.0,0.6,40.4,8541,Fog,998.8
6075.0,2024-02-14 18:00,London,Winter,13.2,73.0,22.8,9.6,2625,Storm,1015.5
,2024-05-24 19:00,London,Spring,11.6,29.0,4.1,14.4,7562,Fog,1019.6
8286.0,2024-05-16 21:00,London,,-30.0,,8.8,30.2,897,Rain,1049.4
7813.0,2024-04-27 04:00,London,Spring,25.0,66.0,2.2,72.7,2403,Fog,971.4
6339.0,2024-02-25 18:00,London,Winter,6.8,95.0,11.9,55.4,9188,Snow,1044.3
6243.0,2024-02-21 18:00,London,Winter,-4.8,71.0,17.7,19.6,8571,Fog,978.7
9916.0,2024-07-23 19:00,London,Summer,32.7,60.0,9.0,19.9,4871,Clear,985.1
9129.0,2024-06-21 00:00,London,Summer,12.4,63.0,1.6,74.1,7527,Clear,1030.1
