date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,weather_condition,air_pressure_hpa,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
2024-02-29 21:00:00,London,Winter,8.5,,1.3,14.1,Snow,1009.5,Greenwich,662.0,67.6,0.0,Low,Damaged,3144.0
2024-04-22 12:00:00,London,Spring,15.4,71.0,2.3,18.9,Fog,1034.1,Lambeth,880.0,114.0,0.0,Low,Dry,6461.0
2024-04-14 16:00:00,London,Spring,22.5,37.0,0.0,66.2,Rain,1041.2,Greenwich,1430.0,68.5,0.0,Low,Damaged,3296.0
2024-04-30 22:00:00,London,Spring,5.4,47.0,8.7,74.1,Rain,1042.5,Westminster,1076.0,45.1,0.0,Low,Wet,457.0
2024-01-01 08:00:00,London,Winter,-2.8,96.0,5.8,78.7,Rain,1036.2,Westminster,1069.0,107.0,0.0,Low,Wet,8323.0
2024-01-07 13:00:00,London,Winter,2.0,80.0,18.5,70.4,Storm,987.9,Westminster,881.0,60.5,0.0,Low,Snowy,4182.0
2024-01-01 23:00:00,London,Winter,10.4,66.0,17.1,52.6,Storm,1047.1,Greenwich,742.0,104.4,0.0,Low,Snowy,7706.0
2024-07-24 09:00:00,London,Summer,31.3,22.0,10.0,37.9,Clear,983.9,Lambeth,2807.0,115.8,1.0,High,Dry,8014.0
2024-03-19 19:00:00,London,Spring,9.8,41.0,0.2,62.5,Fog,978.7,Greenwich,4952.0,19.8,0.0,High,Wet,2017.0
2024-03-19 19:00:00,London,Spring,9.8,41.0,0.2,62.5,Fog,978.7,Greenwich,4952.0,19.8,0.0,High,Wet,2017.0
2024-01-10 11:00:00,London,Winter,8.4,,3.7,5.3,Clear,1023.8,Kensington,1182.0,42.7,0.0,Low,Wet,8169.0
2024-01-04 07:00:00,London,Winter,3.1,60.0,10.8,7.0,Clear,1008.2,Lambeth,1467.0,55.1,0.0,Low,Dry,3044.0
2024-04-15 11:00:00,London,Spring,15.0,47.0,8.8,76.5,Fog,1006.6,Lambeth,348.0,83.9,0.0,Low,Dry,1306.0
2024-04-02 07:00:00,London,Spring,11.7,72.0,0.0,21.2,Rain,1004.5,Westminster,4555.0,,1.0,High,Snowy,9260.0
2024-04-02 07:00:00,London,Spring,11.7,72.0,0.0,21.2,Rain,1004.5,Westminster,4555.0,,1.0,High,Snowy,9260.0
2024-06-06 11:00:00,London,Summer,33.3,77.0,,30.3,Snow,1018.2,Lambeth,236.0,87.7,0.0,Low,Damaged,907.0
2024-07-23 05:00:00,London,Summer,26.5,64.0,6.6,60.5,Clear,957.0,Chelsea,1478.0,78.9,0.0,Low,Snowy,2701.0
2024-03-05 00:00:00,London,Spring,9.4,64.0,1.3,44.3,Rain,1032.1,Southwark,122.0,98.8,0.0,Low,Dry,2877.0
2024-07-12 08:00:00,London,Summer,11.8,43.0,3.3,19.1,Clear,1038.8,Greenwich,2934.0,114.0,0.0,Low,Damaged,5574.0
2024-04-27 05:00:00,London,Spring,24.2,77.0,2.8,17.6,Clear,1027.4,Greenwich,581.0,77.3,0.0,Low,Damaged,7655.0
2024-05-01 17:00:00,London,Spring,7.5,78.0,2.9,30.8,Fog,1007.3,Westminster,2411.0,50.5,0.0,Low,Snowy,2224.0
2024-01-29 09:00:00,London,Winter,1.1,73.0,12.9,39.6,Rain,969.6,Westminster,2387.0,103.1,1.0,Low,Damaged,
2024-05-18 07:00:00,London,Spring,18.6,36.0,5.9,5.0,Clear,977.4,Westminster,2734.0,81.8,0.0,Low,Damaged,6729.0
2024-01-21 05:00:00,London,Winter,-10.0,71.0,8.8,,Clear,976.4,Westminster,104.0,47.5,0.0,Low,Dry,3450.0
2024-06-01 13:00:00,London,Summer,33.6,59.0,8.0,19.7,Clear,971.4,Chelsea,572.0,91.3,0.0,Low,Snowy,7901.0
2024-07-03 05:00:00,London,Summer,19.8,34.0,0.6,75.8,Storm,1003.1,Camden,1015.0,68.5,0.0,Low,Dry,2002.0
2024-01-20 05:00:00,London,Winter,-2.9,87.0,28.0,75.0,Clear,991.5,Camden,769.0,80.5,0.0,Low,Wet,3271.0
2024-03-11 17:00:00,London,Spring,17.6,26.0,1.3,71.2,Storm,985.1,Kensington,2955.0,96.2,0.0,Low,Wet,1808.0
2024-01-04 08:00:00,London,Winter,4.2,80.0,3.8,12.4,Storm,1029.9,Southwark,2495.0,67.6,0.0,Low,Wet,3796.0
2024-01-13 08:00:00,London,Winter,3.4,65.0,13.8,46.7,Snow,987.3,Chelsea,3097.0,13.1,1.0,Medium,Wet,1823.0
2024-05-04 11:00:00,London,Spring,24.5,42.0,0.6,40.4,Fog,998.8,Southwark,1920.0,116.7,0.0,Low,Wet,8541.0
2024-02-14 18:00:00,London,Winter,13.2,73.0,22.8,9.6,Storm,1015.5,Kensington,4937.0,14.6,0.0,High,Wet,2625.0
2024-05-24 19:00:00,London,Spring,11.6,29.0,4.1,14.4,Fog,1019.6,Islington,2474.0,112.9,0.0,Low,Dry,7562.0
2024-05-24 19:00:00,London,Spring,11.6,29.0,4.1,14.4,Fog,1019.6,Kensington,2474.0,112.9,0.0,Low,Dry,7562.0
2024-05-16 21:00:00,London,Spring,-10.0,,8.8,30.2,Rain,1049.4,Chelsea,1445.0,103.7,0.0,Low,Damaged,897.0
2024-04-27 04:00:00,London,Spring,25.0,66.0,2.2,72.7,Fog,971.4,Islington,1848.0,81.7,0.0,Low,Dry,2403.0
2024-02-25 18:00:00,London,Winter,6.8,95.0,11.9,55.4,Snow,1044.3,Greenwich,3688.0,30.8,2.0,Medium,Damaged,9188.0
2024-02-21 18:00:00,London,Winter,-4.8,71.0,17.7,19.6,Fog,978.7,Greenwich,4027.0,14.3,0.0,High,Snowy,8571.0
2024-07-23 19:00:00,London,Summer,32.7,60.0,9.0,19.9,Clear,985.1,Hackney,1563.0,109.6,0.0,Low,Damaged,4871.0
2024-06-21 00:00:00,London,Summer,12.4,63.0,1.6,74.1,Clear,1030.1,Greenwich,892.0,101.1,0.0,Low,Dry,7527.0
2024-06-15 15:00:00,London,Summer,11.8,21.0,6.5,39.9,Clear,966.8,Hackney,1535.0,57.7,0.0,Low,Snowy,6113.0
2024-01-20 12:00:00,London,Winter,13.0,66.0,6.9,48.7,Clear,956.0,Islington,1181.0,,0.0,Low,Dry,6848.0
2024-06-17 06:00:00,London,Summer,29.9,59.0,5.7,2.0,Rain,976.5,Greenwich,238.0,106.3,0.0,Low,Damaged,556.0
2024-01-11 00:00:00,London,Winter,3.8,68.0,8.4,68.5,Storm,1010.9,Lambeth,1526.0,59.6,2.0,Low,Damaged,383.0
2024-02-03 08:00:00,London,Winter,3.9,60.0,18.8,7.1,Clear,1043.0,Southwark,2025.0,114.5,0.0,Low,Wet,1204.0
2024-01-28 06:00:00,London,Winter,3.3,67.0,24.0,42.6,Clear,964.6,Southwark,959.0,83.1,0.0,Low,Snowy,2768.0
2024-07-25 23:00:00,London,Summer,26.3,48.0,9.7,65.0,Rain,1013.5,Camden,1273.0,82.4,0.0,Low,Snowy,9625.0
2024-07-04 06:00:00,London,Summer,25.3,24.0,5.4,0.5,Clear,995.0,Southwark,10000.0,,0.0,Low,Dry,8914.0
2024-07-26 11:00:00,London,Summer,26.6,79.0,7.1,33.9,Clear,1044.1,Lambeth,644.0,116.6,0.0,Low,Snowy,4691.0
2024-04-02 10:00:00,London,Spring,8.1,34.0,9.2,51.5,Fog,1001.9,Hackney,1882.0,102.8,0.0,Low,Damaged,6632.0
2024-03-24 00:00:00,London,Spring,7.3,54.0,5.5,25.8,Rain,953.5,Lambeth,435.0,90.9,0.0,Low,Dry,2483.0
2024-01-20 09:00:00,London,Winter,4.3,74.0,28.7,7.3,Fog,1014.4,Islington,3373.0,17.7,0.0,Medium,Wet,
2024-01-18 18:00:00,London,Winter,6.0,74.0,7.8,9.1,Clear,1049.0,Greenwich,3392.0,12.7,5.0,Medium,Wet,1347.0
2024-03-31 22:00:00,London,Spring,7.2,25.0,4.5,16.5,Rain,991.7,Westminster,1708.0,100.1,0.0,Low,Dry,5562.0
2024-07-21 03:00:00,London,Summer,22.4,40.0,2.3,17.2,Clear,992.6,Greenwich,1828.0,82.9,0.0,Low,Snowy,5297.0
2024-02-08 14:00:00,London,Winter,3.1,99.0,25.4,51.3,Clear,950.1,Kensington,667.0,40.7,1.0,Low,Snowy,9504.0
2024-07-13 21:00:00,London,Summer,16.5,29.0,9.3,43.5,Clear,994.8,Southwark,1371.0,66.8,0.0,Low,Dry,622.0
2024-07-08 14:00:00,London,Summer,32.7,74.0,3.5,2.4,Fog,1022.8,Greenwich,1907.0,111.5,0.0,Low,Wet,1901.0
2024-06-26 18:00:00,London,Summer,34.8,73.0,5.5,76.0,Storm,1038.8,Hackney,3701.0,34.1,0.0,Medium,Snowy,5480.0
2024-07-08 16:00:00,London,Summer,11.0,74.0,9.9,36.8,Clear,1001.8,Chelsea,1871.0,48.6,0.0,Low,Snowy,3611.0
2024-04-17 18:00:00,London,Spring,14.3,32.0,7.6,25.2,Rain,985.2,Westminster,1016.0,83.7,0.0,Low,Wet,2029.0
2024-05-08 12:00:00,London,Spring,16.3,59.0,8.1,73.0,Clear,1002.2,Camden,730.0,117.5,0.0,Low,Snowy,5753.0
2024-03-20 22:00:00,London,Spring,11.2,63.0,5.1,72.9,Rain,993.5,Chelsea,447.0,111.8,0.0,Low,Dry,1084.0
2024-02-04 22:00:00,London,Winter,9.7,61.0,4.1,2.9,Storm,996.0,Camden,1697.0,47.5,0.0,Low,Wet,5311.0
2024-07-18 09:00:00,London,Summer,12.4,54.0,1.3,70.6,Clear,963.3,Lambeth,4316.0,32.0,3.0,Medium,Snowy,9694.0
2024-01-24 01:00:00,London,Winter,5.1,64.0,7.4,26.1,Storm,962.8,Hackney,1962.0,52.6,0.0,Low,Damaged,1985.0
2024-02-15 23:00:00,London,Winter,2.2,67.0,6.4,18.3,Rain,958.7,Greenwich,809.0,94.4,0.0,Low,Damaged,20000.0
2024-05-19 14:00:00,London,Spring,18.3,32.0,3.4,0.4,Clear,981.9,Southwark,1651.0,79.7,0.0,Low,Wet,9254.0
2024-07-08 02:00:00,London,Summer,11.1,59.0,5.4,51.5,Clear,984.6,Southwark,393.0,57.4,0.0,Low,Dry,7687.0
2024-06-29 17:00:00,London,Summer,11.7,48.0,7.0,50.3,Clear,987.9,Islington,4844.0,11.4,0.0,High,Snowy,6044.0
2024-01-21 21:00:00,London,Winter,10.0,61.0,3.7,38.9,Storm,1026.8,Greenwich,1016.0,112.0,0.0,Low,Dry,5341.0
2024-05-28 19:00:00,London,Spring,22.3,34.0,8.0,4.2,Clear,972.0,Westminster,1098.0,40.3,0.0,Low,Snowy,3372.0
2024-02-20 23:00:00,London,Winter,1.8,85.0,17.1,37.6,Snow,980.0,Camden,1282.0,41.7,0.0,Low,Snowy,5226.0
2024-07-11 23:00:00,London,Summer,11.8,32.0,4.4,70.9,Rain,954.3,Southwark,1597.0,102.0,0.0,Low,Damaged,628.0
2024-01-25 10:00:00,London,Winter,4.4,99.0,20.3,1.9,Rain,959.6,Southwark,1594.0,48.5,0.0,Low,Snowy,9235.0
2024-07-20 11:00:00,London,Summer,11.7,27.0,6.6,51.7,Clear,1008.2,Southwark,1055.0,99.2,0.0,Low,Wet,591.0
2024-04-04 19:00:00,London,Spring,17.3,29.0,3.9,19.4,Storm,995.7,Kensington,1216.0,79.5,0.0,Low,Wet,2216.0
2024-07-03 02:00:00,London,Summer,23.2,73.0,0.2,59.4,Clear,,Chelsea,987.0,47.8,0.0,Low,Wet,9847.0
2024-06-19 07:00:00,London,Summer,31.4,30.0,2.9,73.3,Clear,1022.2,Westminster,3082.0,,0.0,Medium,Damaged,5123.0
2024-04-07 20:00:00,London,Spring,22.1,38.0,9.5,45.1,Rain,966.2,Islington,118.0,78.1,0.0,Low,Snowy,1666.0
2024-06-27 21:00:00,London,Summer,15.9,31.0,1.6,7.3,Clear,1044.2,Camden,1431.0,40.9,0.0,Low,Snowy,9278.0
2024-07-07 01:00:00,London,Summer,12.8,39.0,2.2,53.7,Storm,978.7,Chelsea,1642.0,0.0,0.0,Low,Snowy,4111.0
2024-05-13 18:00:00,London,Spring,15.3,57.0,1.2,38.0,Clear,1026.9,Chelsea,1812.0,90.2,0.0,Low,Snowy,4553.0
2024-01-29 05:00:00,London,Winter,11.1,65.0,12.0,12.2,Snow,1009.8,Southwark,787.0,46.5,0.0,Low,Snowy,4603.0
2024-06-10 22:00:00,London,Summer,14.6,45.0,0.9,29.6,Clear,1044.7,Lambeth,942.0,74.3,0.0,Low,Wet,3711.0
2024-06-25 14:00:00,London,Summer,21.5,52.0,8.3,42.9,Clear,953.9,Kensington,1003.0,54.2,0.0,Low,Dry,9931.0
